Source_ID,Site_Lat,Site_Lon,Magnitude,Hypocenter_Lat,Hypocenter_Lon,Hypocenter_Depth,Distance,Azimuth,RotD50_2s
893,64.258409594681,-21.5341221991561,6.5,63.95054735684423,-21.554354544535283,6.65,34.88661612288886,1.6349726962793714,-0.058158536724888
1372,64.258409594681,-21.5341221991561,6.0,63.88285944968592,-20.98301247636248,5.01,49.8690646472859,-32.439510105634724,-1.1952347265253798
1372,64.258409594681,-21.5341221991561,6.0,63.90350000644696,-20.982999999996103,6.56,48.14496265442792,-33.91917920737563,-1.1777528736993823
841,64.258409594681,-21.5341221991561,5.8,63.87555009050824,-21.62062364192257,2.4,42.84671246842792,5.60399658569908,-1.0564058870123685
841,64.258409594681,-21.5341221991561,5.8,63.892600006447886,-21.62100000014245,3.65,41.05749483273237,5.888695333833791,-0.7627473266667362
600,64.258409594681,-21.5341221991561,5.8,63.87020575885156,-22.000345619179058,3.06,48.854523305525504,27.501766069984512,-1.4079002944386787
375,64.258409594681,-21.5341221991561,5.7,63.822835053510495,-22.58639403643894,3.26,70.56574482501884,46.12827312997007,-1.6958627129384274
1520,64.258409594681,-21.5341221991561,5.2,64.00137045848919,-20.193715657078144,14.15,72.43118769347883,-65.67303087435222,-2.130125381125164
1050,64.258409594681,-21.5341221991561,5.4,64.02416346985724,-21.26712000515523,7.85,30.12889384184371,-26.313789350089152,-1.934166953810258
646,64.258409594681,-21.5341221991561,6.0,63.90037398793287,-22.058086962763944,2.9,47.34951000087296,32.37195274862184,-1.131004750318052
30,64.258409594681,-21.5341221991561,5.1,63.825977363225306,-22.4885498376768,1.82,66.88146925831332,43.583044284763496,-2.246739931075073
981,64.258409594681,-21.5341221991561,5.2,64.05012874406341,-21.239915139568183,7.58,28.235256379459948,-31.49243646982889,-1.9346428763126904
981,64.258409594681,-21.5341221991561,5.2,64.06000000647667,-21.24000000005568,7.58,27.33869373821184,-32.73561191215821,-1.845089757926683
264,64.258409594681,-21.5341221991561,5.4,63.82583536563736,-22.644371813320983,4.06,72.45600653175872,47.82855997488548,-2.1854266235071447
264,64.258409594681,-21.5341221991561,5.4,63.83660000763012,-22.645000000477303,4.06,71.68219769204802,48.554779561628536,-2.011499624221058
792,64.258409594681,-21.5341221991561,5.4,63.89760000644875,-21.61800000014181,1.0,40.33932284449965,5.76500679148901,-0.8775066022875923
1180,64.258409594681,-21.5341221991561,6.6,63.9775479781216,-21.235150574997,6.65,35.07346805499413,-24.788211655584355,0.0480975027104183
715,64.258409594681,-21.5341221991561,5.1,63.9344732603198,-21.79125293495144,1.57,38.15660540482653,19.00910204654191,-1.5105215099835465
715,64.258409594681,-21.5341221991561,5.1,63.92550000646524,-21.791000000182365,2.87,39.1703414891216,18.51553227814542,-1.750113727949404
1347,64.258409594681,-21.5341221991561,5.7,63.970653190933305,-20.76186279328793,6.57,49.72288014898745,-49.17218708215695,-1.8387402730933664
1739,64.258409594681,-21.5341221991561,6.9,63.939206296696526,-20.31188163422982,11.4,70.09982189608981,-58.57719495016652,-0.389976553939137
112,64.258409594681,-21.5341221991561,5.2,63.825100007681904,-22.65700000048501,2.07,72.88632224854767,48.09663462377807,-2.2859378202567364
1392,64.258409594681,-21.5341221991561,6.2,64.02662462066509,-21.01601489712641,1.85,36.0415564486184,-44.03854819369403,-0.4509904468776843
1404,64.258409594681,-21.5341221991561,6.3,64.00549529869471,-20.60349194388963,2.15,53.23408965153716,-57.66347288708258,-0.9234651391348144
1404,64.258409594681,-21.5341221991561,6.3,64.00549529869471,-20.60349194388963,6.65,53.60474140435616,-57.66347288708258,-0.9230775536792372
986,64.258409594681,-21.5341221991561,5.2,63.92300000645064,-21.186000000042736,1.45,40.97757325971179,-24.238202112424627,-1.2382279931523668
759,64.258409594681,-21.5341221991561,5.3,63.99023181592292,-21.625759176132124,7.73,31.124981548316168,8.440547911399863,-1.9263495754425048
1303,64.258409594681,-21.5341221991561,5.4,64.03060000647113,-20.797999999953216,2.03,43.81773126538618,-54.30839015095021,-1.413283134764997
130,64.258409594681,-21.5341221991561,5.2,63.83031600867975,-22.66861049330532,2.52,72.94134819478515,48.72439056569425,-2.2955595847891064
130,64.258409594681,-21.5341221991561,5.2,63.80968398873635,-22.667390008087946,4.02,74.49568753331415,47.36696979431744,-2.393216634455912
130,64.258409594681,-21.5341221991561,5.2,63.82000000773194,-22.668000000492444,4.02,73.74695525615793,48.03881672374961,-2.4679641498758915
1727,64.258409594681,-21.5341221991561,6.8,63.9163114246815,-20.390562320528424,11.79,68.36401796001614,-55.09266571035104,-0.5276469601373968
442,64.258409594681,-21.5341221991561,5.1,63.87457926801395,-22.22159077776141,2.0,54.250691856376605,37.76234728686514,-2.059529676953967
442,64.258409594681,-21.5341221991561,5.1,63.893420731473526,-22.22240953006687,2.0,52.63647032379018,39.1938557335572,-2.201202632385681
1466,64.258409594681,-21.5341221991561,5.0,63.98402475782654,-20.32379419378776,3.38,66.27681941368772,-62.008922132999295,-1.98895682466924
288,64.258409594681,-21.5341221991561,5.5,63.81500000783787,-22.690000000508064,1.5,74.82729234325969,48.25531985414642,-1.5535891477551882
6,64.258409594681,-21.5341221991561,5.0,63.89800000682569,-22.36000000033875,3.61,56.83826176393743,44.67819272918954,-2.310729253193855
1761,64.258409594681,-21.5341221991561,7.2,63.90331070475539,-20.43644387439006,3.4,66.45895876395974,-53.00203588914486,-0.0542402646559093
1761,64.258409594681,-21.5341221991561,7.2,64.08278258318809,-20.43281858945118,3.4,56.91716251108065,-69.40134114365296,-0.1188710031328811
1543,64.258409594681,-21.5341221991561,5.3,63.96376650064564,-19.791535889912,5.24,90.87376533984252,-68.04878305432555,-1.7557847302278162
176,64.258409594681,-21.5341221991561,5.3,63.83776475704885,-22.624620439060347,0.81,70.73919082224876,48.116127455921465,-1.7401639963673745
176,64.258409594681,-21.5341221991561,5.3,63.8270000075398,-22.62400000046345,1.61,71.53499703345518,47.38646287057759,-1.7151609785610122
2,64.258409594681,-21.5341221991561,5.0,63.87250000711032,-22.494000000393843,0.5,63.40691954451684,46.97747518455104,-1.9365038392356893
1445,64.258409594681,-21.5341221991561,6.9,63.96870390680935,-20.899129409725937,8.15,45.3255697402267,-43.45412887640922,-0.0916840902330683
377,64.258409594681,-21.5341221991561,5.7,63.85176569364661,-22.433547822762407,0.7,62.92439899269648,43.65550171567224,-1.1476006287630682
377,64.258409594681,-21.5341221991561,5.7,63.85176569364661,-22.433547822762407,2.3,62.962528448213234,43.65550171567224,-1.4966348449268174
1321,64.258409594681,-21.5341221991561,5.5,63.96700980614289,-21.07503722667091,5.01,39.64503674144051,-34.31553899357484,-1.374417047582274
1072,64.258409594681,-21.5341221991561,5.5,63.96900975992597,-21.1600794238404,7.25,37.65398166165876,-29.26694953319388,-1.522786022398977
210,64.258409594681,-21.5341221991561,5.4,63.846764854664166,-22.60361266115865,0.7,69.30334159374044,48.1827766902794,-1.6342548598484077
210,64.258409594681,-21.5341221991561,5.4,63.825235140869886,-22.602387864059576,2.3,70.9120512976169,46.70901247346016,-1.8581531379079284
210,64.258409594681,-21.5341221991561,5.4,63.83600000745778,-22.603000000450848,2.3,70.11919168144985,47.4376017011923,-1.9129856839943435
794,64.258409594681,-21.5341221991561,5.5,63.88700000644506,-21.5470000001254,4.5,41.54812237310403,0.8627597729410534,-1.2799702421723136
277,64.258409594681,-21.5341221991561,5.5,63.89800000682738,-22.361000000339143,4.06,56.9029373969457,44.71241094696164,-2.0040115246431425
